Суп-крем тыквенный, 320 г	Максимально НЕВКУСНЫЙ суп!!
Бургер Богатырь	Довольно вкусный
Бургер с говядиной BBQ	Великолепно!
Не «мясная» пита в белом	Долго не брали из-за негативных отзывов. Сегодня попробовали все таки и очень удивились. Это потрясающе вкусно! Соус есть, все овощи заявленные тоже и их достаточно (что большая редкость обычно).Веган продукт выше всяких похвал. Спасибо ВкусВилл.
Картофельные дольки с сырным соусом	Во первых картофель сильно пах костром, от этого вкус был не очень. Во вторых соус не был сырным, там была сметана. Не рекомендую
Суп-гуляш с говядиной, 300 г	Испортился, один кусочек мяса. Ранее было много.
Бургер «Сочная цыпа»	Был очень вкусный, но к сожалению уже холодный :( но я все равно скушала, правда, я так есть хотела :D
Вок с морепродуктами	Из морепродуктов я нашла только мидии
Панкейки банановые с клубникой и сгущенным молоком	Божечки. Это такая вкуснятина,
Большая порция сырников с вишней	Вкусные, горячие, все как надо :)
Салат с северной креветкой и авокадо	Очень вкусный салат! Как в дорогом ресторане!
Бургер «Сочная цыпа»	Это хорошо прям. Не высший пилотаж , но тем не менее за эти деньги,это прям хорошо. Не ожидал. Всё было упаковано как надо.. и всё же приехал ели тёплый. Был бы горячее думаю по вкуснее был бы.
Бургер с говядиной BBQ	Всем, добрый день!) Сразу скажу Бургер зачетный. Вкусный. Все ингредиенты очень приятны. Приехал теплым, греть не пришлось. Но выскажусь для улучшения качества продукта. Ярко выраженного вкуса я не испытал. Да, были хорошие нотки, томата, сыра, бекона. Но на мой вкус я бы больше подсушил бекон, чтобы он был более пикантным и хрустящими и ярким. Возможно больше бы добавил сыра, чтобы вкус тоже был более выраженным. Больше бы добавил соуса. По больше лопух-салата.Но Бургер зачетный. Ещё раз бы купил в надежде, что его будет готовить другой повар и на свой глаз по другому приготовит)))
Плов по-узбекски с говядиной	Мясо в плове 3 кусочка. Их даже раскусить невозможно, очень жёсткие и пережаренные. Рис половина тоже сухой и слипся. Понятно, что плов и не ожидала, такой уровень мяса неприемлем.
Лагман с говядиной, 320 г	Бульона почти нет.
Щи с мраморной говядиной, 300 г	Щи очень вкусные.
Сырники с вишней и сметаной	На любителя
Гречка с говядиной в сливочном соусе	Нормально на вкус, можно сказать, по-домашнему, но вот гречки мало совсем, столовая ложка
Бургер с говядиной BBQ	Булка могла быть вкуснее, но в целом вкусно и очень сытно... съела вот... еле дышу)))))
Суп-крем тыквенный, 320 г	Очень вкусноЛюбимый супчик
Хот-Дог Классический	Еду очень долго везли. Ход дог приехал ледяной и весь перевернутый. Смешался в кашу. Есть не возможно. Так же булка сверху была подгоревший.
Большая порция сырников творожных со сметаной и малиновым вареньем	Отличные сырники! Очень вкусные! Последний раз вместо варенья привесли сгущёнку.. но сырники и без соусов очень вкусные!
Салат с бужениной	Очень вкусный и достойный салат.Много мяса и овощей и всё пропорционально.Очень свежий.Один из лучших.
Клаб-сэндвич	На вкус сендвич отличный, начинки много, распределена равномерно.Но большая проблема - всего 3 кусочка хлеба. Из-за этого вываливается немного начинки и откусить получается только большие куски.Добавьте кусочек хлеба, и этот сендвич будет совершенен.
Борщ с мраморной говядиной	Верните на Походный проезд повара, который готовил до Нового года! Горячие супы стали совсем невкусные!
Омлет с беконом и ветчиной	Сухой ужасно
Суп грибной, 300 г	Был вкусный, но мне не повезло, через полчаса после того, как съела закрутило живот ужасно, потом пронесло, живот до сих пор болит( хз что с ним не так было, больше заказывать определенно не буду😬
Бургер «Сочная цыпа»	Привезли быстро, был достаточно тёплый. Размер большой. Котлета из фарша и очень нежная, прямь воздушная! Огурчики, сыр, специи. Нежные воздушные булочки. В целом бургер вкусный, но в сторону ""супер нежного"". Кто любит кусать-жевать может показаться ""невнятным"". Кто любит куриные бургеры - попробовать стоит!
Кукуруза гриль с сырным соусом	Очень вкусная , в точности как на фото ) соус тоже с удовольствие съела , прям сырный 👍
Клаб-сэндвич	Очень-очень вкусный и цена адекватная. Хотя, конечно, судя по отзывам, некоторым может не повезти
Блинчики со сливой и сыром Рикотта	Ужасные блинчики ,да какие там блинчики ,резиновый блин,запах ужасный ,а про масло вообще молчу ( Одним словом отвратительно!
Вареники с картофелем и грибами, 245 г	Не стоит своих денег. Пусть еле тёплые. Но само тесто не вкусное, слипшиеся... Какие-то покрошенные чипсы к ним прилагаются. Я подумала, лук жареный, нет, чипсы.
Картофельные дольки по-техасски	Часто беру это блюдо, сочетание ингредиентов очень нравится, хоть и переодически попадаются сыроватые картофельные дольки, но в целом очень вкусно
Суп Солянка сборная с каперсами	Ужасный суп, очень жирный и совсем не солянка(((
Куриная грудка запеченная с моцареллой, песто и томатами	Одно из любимых блюд во ВкусВилл.
Суп Гороховый с копченостями, 330 гр.	пересолёный
Лазанья Болоньезе	Живая соль и перец, есть невозможно. Выбросили
Картофельная вафля с лососем и яйцом	Ужасное блюдо. Хотя идея очень хорошая.Но привозить холодным-рыбы очень мало и не совсем свежий продукт. Написал в поддержку, но у ВВ она не работает.
Хот-Дог Цезарь	оверпрайс но тема вкусная на перекус пойдет
Омлет с брокколи	Очень вкусный, сочный. Доставили прям горяченьким!
Крок Мадам	Яичница оказалась под сендвичем, , вкус не очень, да и ветчина с жилками, больше брать не буду
Крок Месье	Бомбически
Вареники с творогом, 265 г	Брала первый раз, не очень. С,едобно, но повторно не куплю. Тесто для меня неплохое, тверденькое, держит форму, но они не соленые совсем, чувствуется небольшая сладость, но в целом пресные. Производителю всего лишь надо добавить соли в начинку, не увеличивая количество сахара и будет вкусно
Сырники с вишней и сметаной	Сырники холодные,сметана комнатной температуры.
Паста Карбонара, 290 г	Невкусно совсем :(
Салат с томатами черри и мини моцареллой	Соус черезчур густой, мало помидорок. Цена завышена.
Злаковая каша с ягодами 	Бомба!
Драники картофельные с цукини и соусом	Вкусные)
Шницель куриный с картофельным пюре, 300 г	Пюре совсем без соли, шницель по краям сухой, пережарили. Огурцов не было.
Курица «Карри» с рисом	Рис переваренный, соус слабый
Суп-пюре с грибами, 320 г	Божественно вкусный
Круассан с лососем и сливочным сыром	Понравился. Все компоненты вкусные. Лосося достаточно.
Бургер с говядиной BBQ	Бургер бомба! Вкусный,большой,упакован 👌Единственный минус, принесли уже холодный
Плов по-узбекски с говядиной	Обожаю, это мой любимый плов 💕
Вок с говядиной	Вру оказался невкусным. Лапша слиплась, говядина тяжело жуется, так как мясо резиновое
Гранола «Ореховая» с персиком и малиной	Продукт привезли свежий, датированный сегодняшним числом. Вкусный!
Большая порция сырников с вишней	Великолепно.Свежие,тёплые,нежные. Спасибо.
Картофельная вафля с лососем и яйцом	ооочень вкусно и сытно ! но цена конечно кусается ( звезду снимаю за стоимость , я считаю это дорого
Омлет с ветчиной и томатами	Пережаренный омлет.
Суп-крем тыквенный, 320 г	На обед заказали три супа…, Борщ с говядиной , грибной крем суп и тыквенный, из трёх супов только тыквенный суп напоминает настоящий суп из настоящий тыквы. Нежный и вкусный. Всем рекомендую
Суп-пюре из цветной капусты с сыром	Вкуснятина
Бургер с говядиной «Капрезе»	Ооочень жирный бургер. Слишком много песто! И котлета жирная.
Куриная грудка с гречкой и томатным соусом 	Ужасный запах от курицы, она серая, будто тухлая, сухая, холодная. К еде данное блюдо не пригодно, пришлось выбросить.
Набор: Суп грибной + Котлета «Домашняя» с картофельным пюре	суп не очень понравился
Блинчики с творогом	Вкусные, начинки много. И блины не особо сладкие.
Суп-гуляш с говядиной, 300 г	Съедобно, но кислый привкус
Борщ вегетарианский	Не понравился. Слишком кислый, одна фасолина. Больше не куплю такой.
Сырники творожные со сметаной	Сырники вкусные, но чувствовался вкус масла, в котором эти сырники были далеко не первые.
Плов по-узбекски с говядиной	Один рис, при чем острый и много желтой специи, три куска мяса. Не советую
Сырники с вишней и сметаной	Качественный продукт, если бы не вкус прогорклого масла
Картофельные дольки с сырным соусом	При всей моей любви к кулинарии ВкусВилл тут прям совсем провал. Картошка приехала холодная и совсем безвкусная. Соус которой идет в комплекте наоборот, был теплым и отслоился. Не рекомендую. Тут либо нужно продумать доставку и доставлять горячим. Либо менять рецептуру. Вывод один, фастфуд пока не дотягивает.
Штрудель с вишней и черной смородиной	Кажется, что поменяли рецептуру и вот уже второй  раз привозят очень вкусный и не кислый штрудель!
Английский завтрак	Для меня это топ. Единственное конечно иногда бывает всего 2 помидора черри. Это не серьёзно!
Хот-Дог Суздальский	Абсолютно не стоит 290р. Булка хлеб хлебом, бекон есть не стала, так как даже немного не поджаренный. Сосиска тоже не вызывает эмоций. Единственное что понравилось, это соус (на удивление)Хот-Дог на заправках намного вкуснее!Вкусвилл, уберите информацию, что привезете горячим. Ну не привозите вы горячим, не привозите)))
Вок с курицей	Невкусно, у курицы был какой-тотнеприятный привкус.
Крок Месье	Не поняла положительных отзывов . Цена не оправдана. Вот круассан с ветчиной и сыром действительно вкусный Даже холодный , это же обычный бутерброд
Вок с говядиной	Ну…. За такие деньги разваренные макароны с кучей масла из запарки и пару кусочков говядины… сомнительное удовольствие, взял первый и последний раз!
Английский завтрак	Хороший и сытный завтрак. Можно даже разделить на завтрак и ланч. Единственное, что расстроило - по факту помидоров всего три половинки, в отличии от фото, где их намного больше. Колбаски остренькие, приятно отдают перчиком. Вафля похожа на драник, отличная подача
Котлета из щуки (2 шт.) с картофельным пюре	Жидкие, одна мука чувствуется.
Большая порция сырников с вишней	Вкусные но жесть какие жирные, Как будто сверху маслом полили. А ещё частенько не везёт последнее время, попадаются с запахом прогорклого масла, вот как в последний раз, ещё и залитые этим же маслом, крч не стала доедать, чего-то поташнивало после 2шт съеденных на завтрак
Лазанья Болоньезе	Сойдет, мне попалась переполненная
Хот-Дог Цезарь	Не очень, домашний был бы в 100 раз лучше. На вкус просто майонез и все. И много жира!
Сырники с малиной и сметаной	Сырники сырые, плохо прожаренные. Противно есть. Жарили их совсем чуть чуть, ели схватились, в большом количестве масла, очень жирные. Вид на картинке сильно отличается. В желудке после них было очень некомфортно. Сметана, что была в пакете свернулась.
Круассан с лососем и сливочным сыром	Прежде чем пробовать этот круассан, прочитала отзывы и немного расстроилась😅 очень смутило, что кому-то попадались кости в рыбе( был такой отзыв не один. На свой страх и риск всё-таки решила заказать) рыба вкусная, без костей. По начинке все идеально) по размерам достаточно большой. Я бы даже сказала огромный) все вкусно, спасибо)
Бургер Богатырь	Очень вкусный и сочный бургер!)
Салат Цезарь с куриной грудкой гриль	Отличный Цезарь ! заправка и куриная грудка-гриль делают его сытным и  вкусным. Честно говоря, обычный Цезарь очень проигрывает этому по вкусу
Вареники с картофелем и грибами, 245 г	Вкусные и чипсы в тему )
Борщ с мраморной говядиной	Вкусный, но украинский с курицей нравится больше
Куриная грудка с гречкой и томатным соусом 	👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽
Вок с курицей	Данное блюдо стыдно называть вок.  Слипшиеся варёные макароны с шапкой из не вкусных овощей.  Непонятно зачем там арахис...
Бургер с говядиной BBQ	Отличный бургер! Очень вкусно. Все ингредиенты к месту. Даже муж оценил (он весьма придирчив!)!
Бургер Богатырь	Приехал холодным, хотя запаян был как надо. Чипсы сверху превратились в мягкие непонятные кусочки, котлета отдаёт печенью куриной и не в лучшем смысле. Булочка (скорее всего из-за того, что бургер холодный) перебивает вкус всего, кроме мяса с печенью, что делает его ещё хуже. Есть можно, но зачем?
Перепече с курицей и грибами	невкусное тесто и много соли в начинке. грибной вкус не чувствуется. больше покупать не буду.
Лагман с говядиной, 320 г	Сытно и вкусно. Хоть и от лагмана очень далеко
Вок с овощами	Это не вок. Слипшиеся макароны с пересоленными ужасными тушенными овощами. Отвратительно на вид и на вкус. Не соответствует тому, что на фото.
Штрудель с яблоком и корицей	Вместо ""штруделя с яблоком""  привезли с вишней и черной смородиной. И да, согласна с другими отзывами - это не штрудель! Отвратительный и, даже не теплый. Хотя позиционируется как ""горячая еда"".
Бургер куриный «Цезарь»	Невкусный и ещё и холодным привезли
Омлет с брокколи	Очень вкусно
Салат куриный BBQ	Очень вкусный салат с достойной граммовкой. Кусочков курицы достаточно, овощи свежие.
Плов по-узбекски с говядиной	Вкусный ароматный, рассыпчатый рис, мяса на такую порцию достаточно.
Салат с бужениной	буженина и соус вкусные, зелень тоже хорошая, но перец настолько размяк, что я сперва подумала это красная рыба. пришлось вытащить все перцы, чтоб насладиться остальными ингредиентами в салате.
Вок с морепродуктами	Это просто позор ВкусВилл! Ничего общего с картинкой не имеет. Лапша с поджаркой моркови и мизерными кусочками отходов морепродуктов.. возрат однозначно! 380₽ это просто ужас
Картофельная вафля с лососем и яйцом	Вкусная
Не «мясная» пита в белом	Очень даже ничего! Дороговато, но как любимый продукт пойдёт. Пытался 2 недели ее заказать. Постоянно нигде нет. Больше всего раздражает, когда в приложении написано, что в наличии, ты заказываешь, а потом звонят и говорят, что нет. Вкусвилл, не надо так...
Большая порция сырников с малиной	Мягчайшие! Вкуснейшие! 👌
Омлет с ветчиной и томатами	Внешний вид конечно совсем не как на картинке, но вкусно
Большая порция сырников с вишней	Очень вкусно))
Вареники с картофелем и грибами, 245 г	Изменилась форма и вкус, к сожалению, в худшую сторону
Сырники с вишней и сметаной	Люблю вишню, не люблю вишнёвый конфитюр. Вот в сырниках конфитюр. В целом нормальные, но без фееричного восторга.
Плов по-узбекски с говядиной	Очень вкусный плов. Очень нежная говядина и её нормальное количество.
Хот-Дог Классический	Булка сухая, зачерствелая. Соуса мало. За эти деньги совсем не стоит.
Бургер с говядиной «Капрезе»	жирный невкусный тяжелый, пальмовое масло льется со всех сторон, не стоит свих 356 руб совсем
Сырники с малиной и сметаной	Отличные сырники. Беру постоянно ребенку на завтрак
Круассан с ветчиной и сыром, 160 г	Круассан очень понравился. Правда был чуть тёплый, но ничего страшного (погода бушует, задержки). Сырочек, сервелат и круассан на масле! Просто и вкусно 🤤
Каша овсяная с бананом и голубикой	Каша, огонь, самая вкусная из всех что я пробовала когда то. Да ,приезжает остывшей уже, но комон, у всех дома микроволновки в чем проблема. А вкус….мммм… просто тает во рту
Мама бургер с голубым сыром и вишневым вареньем	Приехал холодным( сыр практически не чувствуется. Варенья сильно много. Не хватает овощей
Деревенский завтрак	Вполне вкусно все было. Порция большая, я даже не доел. Снял одну звезду, за то, что везде сыпят эту несвежую зелень.
Котлета из щуки (1 шт.) с картофельным пюре	Ужасное блюдо, доставили не щучью котлету, а хлебную, и очень не вкусную. Рыбы вообще не видно, один хлеб в сухарях. Ребёнок есть не стал, выкинули. Неожиданно такого качества блюдо от Вкусвилл
Курица «Карри» с рисом	Максимально не вкусно. Брать не рекомендую
Блинчики с печенью и яйцом	Очень вкусно 🤤 прям любителям печенки посвящается
Борщ вегетарианский	Отвратительный. Живой уксус. Выкинула. Жаль потраченных денег.
Лагман с говядиной, 320 г	Ужасно. Это не лагман
Крок Мадам	Отличный крок, привезли к завтраку и... бесподобно приготовлен, с любовью! Спасибо большое цеху ""горячая еда""! Вкусно, вкусно, вкусно!
Перепече с курицей и грибами	Москва, Новокосино. Не вкусно(( сухо всё, и на вкус правда «мешанина» какая-то, как каша, как внизу написали.. больше не буду брать
Борщ с мраморной говядиной	не вкусный, к сожалению. не насыщенный, нет того аромата борща. к тому же тара плохо была закрыта, не герметично и борщ немного пролился в упаковку
Лазанья Болоньезе	По вкусу все отлично, но за такие деньги, 230г. Это очень мало
Борщ с мраморной говядиной	К сожалению, борщ был совсем не вкусным:(.
Кесадилья с курицей, 185 г	Очень сухая раскрошенная лепешка, начинка из сухой субстанции с куриным запахом без овощей. Выкинула, есть невозможно.
Суп-крем тыквенный, 320 г	На вкус и цвет.. мне не очень.
Сосиски куриные со спагетти	Сосиски будто резиновые . Соус вкусный
Салат куриный BBQ	Салат привезли с откровенной этикеткой срока годности,и явно не первой свежести
Блинчики с курицей и сметаной 	очень вкусные
Не «мясная» пита в красном	Очень вкусно!☺️Спасибо, что добавляете в свой ассортимент новые блюда для веганов💚
Суп-гуляш с говядиной, 300 г	Разочарование в компании ВкусВилл. Овощное рагу и кислый Суп Гуляш - это две несовместные конструкции. Либо ты наслаждаешься гуляшом, где как придумали Венгры достаточно соуса, так что соус- бульон накрывает мясо и его достаточно, потому, что в гуляшь его нехватает. В супе он чуть менее концентрирован, но это изумительная и вкусная подлива, которая закрывает мясо своим объёмом. А что я получил? Овощное рагу с кислым вкусом.... Это просто Ужастное Разочарование от Вкусвилл!!! Гуляш основан на основном ингредиенте: мясо говядины. Если вы решили накидать туда кучу овощей, что эти 4 кусочка говядины вам придётся искать, то я буду вам очень признателен, если вы не будете вводить своих потребителей в заблуждение и напишете: Овощной гуляш с добавлением говядины, но ни вм крем случае, не Суп Гуляш,  И тем паче чистый.... Мне не доводилось пробовать Кислые мясные супы... Ну вот получилось... Ощущение мерзкоаатое. Огурцы могут быть закисленными уксусом, и это может нравиться, но мясо по мне так НЕТ!!!! Напишите честное название: Кислое овощное рагу с добавкой говядины
Борщ с мраморной говядиной	Периодически покупаю. Хорошее мясо, достаточное количество. Вкусно.
Салат куриный BBQ	Необыкновенный салат. Заказывали не раз, привозили в «прекрасном состоянии». Очень вкусный.
Перепече с курицей и грибами	Привезли горячим. Очень вкусно!
Щи с мраморной говядиной, 300 г	Суп одна жидня, много лука, вообще нет картошки, я даже залезла состав посмотреть, думаю неужели в Щи картошку не должны класть, оказывается должны, так ещё и грибы оказывается заявлены, которых тоже не было. Мясо мягкое. Короче, не понравилось. Куриный с лапшой остался самым лучшим.
Крок Месье	Сэндвич очень классный! В теплом виде вкусный, сочный, мягкий...Мне очень понравился! 🤩
Борщ вегетарианский	Очень вкусно!
Суп Куриный, 300 г	Привезли вместо супа кашу. Лапша вся разварилась, жаль! Раньше был самый вкусный суп….. заказывать больше не буду
Салат с томатами черри и мини моцареллой	Салат просто бомба, я даже не ожидала, что это настолько вкусно. Помидорки сладкие, сыра много, соус бомбический и достаточно для такого салата очень даже, рукола очень свежая. Спасибо, теперь буду заказывать постоянно
Мама бургер с голубым сыром и вишневым вареньем	для доставки отличный бургер! горячий и вкусный. может потому что нравится сочетание солёного и сладкого) булка классная, лучше булок в точке)) похожа на бриошь. котлета большая, сочная и чудесно съедается без неприятного послевкусия. размер всего бургера тоже радует. заказываю уже не в первый раз. рекомендую!
Блинчики с курицей и сметаной 	Вкусные, нежные блины
Перепече с курицей и грибами	Неплохо
Глазунья из трех яиц	Вкусно
Гречка с говядиной в сливочном соусе	Не понравилось. Мясо заветренное, уже жесткое и потемневшее. Соуса мало. Гречка сухая. Больше не возьму.
Гранола «Ореховая» с персиком и малиной	Очень вкусная гранола.Довольно частно беру и ее и с клубникой, и с манго (увы, ее сейчас нет, но она была потрясающей).Хочу сразу предупредить, что, не смотря на состав, в этой граноле нет кокосовой стружки, банана, и ананаса.Проверено в разных «дарках». Но, все равно, очень и очень вкусно.Свое ореховое название оправдывает. Очень жду пополнение ассортимента новыми гранолами с сезонными фруктами (зимой было бы классно добавить позицию с хурмой, например).
Блинчики с вишней и шоколадом	В блинчиках ""с вишней и шоколадом"" шоколада не обнаружено.
Сырники творожные со сметаной	Сметаны не было. Сырники с химическим вкусом, живот после них скрутило ….
Паста «Болоньезе», 290 г	Болоньезе как надо!Зачет!
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Говядина на вкус, будто тушёнка😢
Суп Куриный, 300 г	Брала супчик несколько раз и все было хорошо. Сегодня заказала и расстроилась, вылила. Чисто психологически не смогла есть. Все люди разные каждому своё. В супчике плавали шкуры. Для меня это «крест» на этот продукт навсегда. К сожалению, бывают ситуации, что не успеваешь приготовить еду и прибегаешь с покупке готовой. Конечно понимаешь, что домашнего качества никогда не будет, но все же очень жаль когда плавают отходы. Я даже вида варёной шкуры не переношу, не то что бы съесть. Наверное поэтому и покупаю готовую еду в крайних жизненных ситуациях. Но все люди разные, каждому своё. Возможно большенство не обратит на это внимание и спокойно покушает, приятного аппетита. Но для «мнительных» как я, оставляю комментарий, предупреждён - вооружён. Всех благ.
Салат куриный BBQ	В целом салат отличный, большая порция, много зелени, сочная курица, но в последний раз привезли с соусом песто 😞. Он туда вообще НИКАК не подходит. Такое себе сочетание-соус барбекю и песто… верните старый соус 🙏
Гранола «Ореховая» с персиком и малиной	Часто заказываю, очень вкусно , порция большая едим с ребеноком вместе, но сегодня было очень мало фруктов. Технологи расширяйте ассортимент хочется видеть в топпингах манго мандарины может курагу
Куриный шницель запеченный под сыром с картофелем-мини	Картофель был горелый и сухой, даже есть не смогла.
Вок с говядиной	И вообще, не готовьте макаронные изделия, не ваше это.
Салат куриный BBQ	Вкусный салатик )
Борщ с мраморной говядиной	Не хватает насыщенности вкуса бульона. (обычный ""борщ с говядиной"" по бульону в разы лучше).
Кукуруза гриль с сырным соусом	Вообще ни о чем( кукуруза старая, порезана не так как на фото, разочарование, соус не сильно спасает ситуацию
Глазунья из трех яиц	Из трёх яиц только одно не было пережарено… я обожаю глазунью, но второй раз берём и снова пережарено (((
